"state","year","quarter","transaction_type","total_transaction","transaction_amount"
"assam",2019,3,"Others","61396","46973661"
"assam",2019,4,"Peer-to-peer payments","3222143","14083346879"
"assam",2019,4,"Recharge & bill payments","2937800","704118874"
"assam",2019,4,"Merchant payments","544053","456318130"
"assam",2019,4,"Financial Services","9621","3492255"
"assam",2019,4,"Others","46893","34707757"
"assam",2020,1,"Peer-to-peer payments","4058740","18977446152"
"assam",2020,1,"Recharge & bill payments","3897975","971722606"
"assam",2020,1,"Merchant payments","792646","675423853"
"assam",2020,1,"Financial Services","10173","7054326"
"assam",2020,1,"Others","49326","36781411"
"assam",2020,2,"Recharge & bill payments","6045321","1612522829"
"assam",2020,2,"Peer-to-peer payments","3648386","17358374071"
"assam",2020,2,"Merchant payments","742400","749018053"
"assam",2020,2,"Financial Services","19814","18130005"
"assam",2020,2,"Others","49278","28255168"
"assam",2020,3,"Peer-to-peer payments","5637893","26646565777"
"assam",2020,3,"Recharge & bill payments","5292154","1627282416"
"assam",2020,3,"Merchant payments","1383230","1492484153"
"assam",2020,3,"Financial Services","24954","28452966"
"assam",2020,3,"Others","59480","36605947"
"assam",2020,4,"Peer-to-peer payments","7538478","36013292451"
"assam",2020,4,"Recharge & bill payments","5383505","1662189124"
"assam",2020,4,"Merchant payments","2392184","2466913306"
"assam",2020,4,"Financial Services","29764","32314810"
"assam",2020,4,"Others","79523","51901628"
"assam",2021,1,"Peer-to-peer payments","9449096","45476079487"
"assam",2021,1,"Recharge & bill payments","6494111","2103017762"
"assam",2021,1,"Merchant payments","3459132","3657261586"
"assam",2021,1,"Financial Services","34049","41291047"
"assam",2021,1,"Others","75672","48814664"
"assam",2021,2,"Peer-to-peer payments","11668399","51521387891"
"assam",2021,2,"Recharge & bill payments","9058005","2657676415"
"assam",2021,2,"Merchant payments","4562669","4914753140"
"assam",2021,2,"Financial Services","49671","46106001"
"assam",2021,2,"Others","94161","52549929"
"assam",2021,3,"Peer-to-peer payments","15617592","64131823895"
"assam",2021,3,"Recharge & bill payments","10284267","3248364164"
"assam",2021,3,"Merchant payments","7431371","8208706348"
"assam",2021,3,"Financial Services","39479","43889820"
"assam",2021,3,"Others","131732","67715045"
"assam",2021,4,"Peer-to-peer payments","21393962","86801625127"
"assam",2021,4,"Merchant payments","12895755","13378765006"
"assam",2021,4,"Recharge & bill payments","11484376","3842004488"
"assam",2021,4,"Financial Services","60724","65456476"
"assam",2021,4,"Others","185544","97116797"
"assam",2022,1,"Peer-to-peer payments","27156085","108855352347"
"assam",2022,1,"Merchant payments","19011883","18833132506"
"assam",2022,1,"Recharge & bill payments","12474674","4424035840"
"assam",2022,1,"Financial Services","68432","73257991"
"assam",2022,1,"Others","178812","94659207"
"assam",2022,2,"Peer-to-peer payments","33879530","123829913105"
"assam",2022,2,"Merchant payments","28377534","24333260090"
"assam",2022,2,"Recharge & bill payments","13858113","4814695680"
"assam",2022,2,"Financial Services","50785","55549154"
"assam",2022,2,"Others","168763","77624058"
"assam",2022,3,"Peer-to-peer payments","37000266","127264703852"
"assam",2022,3,"Merchant payments","34935460","28789992307"
"assam",2022,3,"Recharge & bill payments","13974568","5295136932"
"assam",2022,3,"Financial Services","65066","62882386"
"assam",2022,3,"Others","138451","76363577"
"assam",2022,4,"Peer-to-peer payments","44828832","150693397669"
"assam",2022,4,"Merchant payments","43605784","36033810142"
"assam",2022,4,"Recharge & bill payments","15344794","5773980885"
"assam",2022,4,"Financial Services","74414","75960368"
"assam",2022,4,"Others","127443","76370124"
"assam",2023,1,"Merchant payments","48987048","39416860194"
"assam",2023,1,"Peer-to-peer payments","48461200","166509153749"
